date,time,tweet,sentiment_label,sentiment_score,username
2023-01-01,,"Resuelto, muchísimas gracias , excelente servicio como siempre",5,0.8339755535125732,
2023-01-02,,"Muchas gracias, espero su dm",5,0.7033039927482605,
2023-01-02,,Muchas gracias!,5,0.7374733090400696,
2023-01-02,,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,3,0.4484220445156097,
2023-01-02,,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰,5,0.7518569827079773,
2023-01-02,,Esta es la señal que necesitan para tener el mínimo dinero en banamex,5,0.5196741223335266,
2023-01-03,,Gracias 😁,5,0.5859181880950928,
2023-01-03,,Muchas gracias 😊,5,0.6660731434822083,
2023-01-03,,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.",5,0.5646528005599976,
2023-01-04,,Gracias por la playera que me dieron en Galerías GDL.,5,0.513876736164093,
2023-01-04,,buen día...tengo problemas con mi cuenta,4,0.3872343897819519,
2023-01-05,,Gracias,5,0.5485174655914307,
2023-01-05,,Mis Respetos para ustedes... Gracias por el servicio 🙌🏻,5,0.5856584310531616,
2023-01-05,,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias",1,0.5362399220466614,
2023-01-06,,"Ya todo bien, gracias 👍",5,0.6037300229072571,
2023-01-06,,Milagro que me gano algo 🫶🏻,5,0.7244663834571838,
2023-01-06,,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚,5,0.5009700655937195,
2023-01-06,,nunca había ganado nada antes ✨ hahaha,1,0.3450038135051727,
2023-01-06,,Con el CashBack de pude pagar mi servicio de internet. yei :),1,0.28709676861763,
2023-01-07,,Gracias!!!,5,0.647549569606781,
2023-01-07,,"Listo, gracias",5,0.4363168179988861,
2023-01-07,,Si gracias,5,0.3362509906291961,
2023-01-08,,A mí me llegó una semana después aprox,1,0.4115079939365387,
2023-01-09,,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,4,0.4224894046783447,
2023-01-10,,Muchas gracias!,5,0.7374733090400696,
2023-01-10,,Muchas gracias 🙏,5,0.6660731434822083,
2023-01-10,,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.",1,0.7173938751220703,
2023-01-10,,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.",5,0.6458077430725098,
2023-01-11,,Excelente Gracias por responder 🙏 estaremos muy atentos 🤝,5,0.8020294904708862,
2023-01-11,,"Pues bueno, me quedé sin cena, muchas gracias 👍",5,0.464835375547409,
2023-01-11,,"Gracias e igualmente, bendiciones 🙏",5,0.6611472368240356,
2023-01-11,,Vale estoy esperando,4,0.2953283190727234,
2023-01-11,,Muchas gracias espero la respuesta,5,0.555095911026001,
2023-01-13,,Me gané 99 pesitos de crédito en Amazon coesía de Qué agradables sujetos 😁,1,0.3029402494430542,
2023-01-13,,es mejor,5,0.3214693665504455,
2023-01-13,,Contéstenme por favor,1,0.341961532831192,
2023-01-14,,Muchas gracias que amables 😊,5,0.7119019031524658,
2023-01-14,,"heybanco muchos años como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito",5,0.6474230289459229,
2023-01-14,,amigos les mandé dm gracias,5,0.4916385412216186,
2023-01-14,,solicito su ayuda gracias,5,0.357520580291748,
2023-01-15,,Gracias!Ya respondí.Quedo atenta,5,0.6503591537475586,
2023-01-16,,Va gracias,5,0.4907787442207336,
2023-01-16,,No sé ni a qué le piqué pero muchas gracias😂❤️,2,0.3250750005245209,
